# k	cb	gl	xy
545	0.128462	1.91448	0.719144
546	0.151543	0.989622	0.530904
547	0.252378	2.18338	0.986086
548	0.152165	1.59303	0.695241
549	0.21389	1.95761	0.842389
550	0.165732	1.23123	0.843132
551	0.157917	1.0423	0.526129
552	0.161299	1.12631	0.581533
553	0.972532	1.01567	0.591571
554	0.148814	1.06203	0.557485
555	0.122526	0.969032	0.49552
556	0.164299	1.79338	0.513824
557	0.138703	1.21121	0.669811
558	0.127107	1.06975	0.51821
559	0.187644	1.27558	0.648174
560	0.135913	1.06423	0.526417
561	0.179273	0.982487	0.470311
562	0.280291	2.25317	1.06365
563	0.155022	1.4456	0.667855
564	0.165168	0.957841	0.518607
565	0.24545	2.17632	0.998562
566	0.172591	1.68563	0.843057
567	0.221165	2.08712	0.924334
568	0.195938	1.45046	0.880323
569	0.152617	1.03984	0.571599
570	0.154223	1.15079	0.586232
571	98.3804	9.28867	0.975925
572	0.134549	1.07886	0.568069
573	0.160397	1.01744	0.476972
574	0.18778	1.69696	0.754963
575	0.135979	1.08024	0.630932
576	0.127444	1.03997	0.579121
577	0.140476	1.14945	0.544258
578	0.139497	1.0393	0.574201
579	0.132944	0.990561	0.483768
580	0.267027	2.14708	1.00024
581	0.156171	1.06548	0.630679
582	0.136224	1.15341	0.649065
583	0.218766	2.28226	1.05839
584	0.13245	0.972594	0.49805
585	0.141434	1.28572	0.664427
586	0.147347	1.20603	0.558247
587	0.159299	1.19917	0.658486
588	0.141542	1.00606	0.538509
589	0.137591	1.1331	0.549223
590	0.145068	1.07956	0.596909
591	0.133482	0.994566	0.4861
592	0.140472	1.22302	0.548708
593	0.160947	1.01352	0.502961
594	0.126	1.04538	0.538692
595	0.13928	1.39781	0.671504
596	0.132557	1.27026	0.550898
597	0.129277	0.959248	0.496328
598	0.236869	2.11181	1.04607
599	0.145932	1.51322	0.917797
600	0.133452	1.12473	0.53409
601	0.223792	2.19718	0.930155
602	0.128627	0.952526	0.521219
603	0.148043	1.19675	0.604202
604	0.149003	1.30936	0.679764
605	0.151653	1.28565	0.62206
606	0.145376	1.3869	0.61964
607	0.135458	1.33357	0.673288
608	0.132443	1.17857	0.587471
609	0.130596	0.970661	0.504326
610	0.184504	1.54953	0.749377
611	0.138056	1.25532	0.704821
612	0.134933	1.09699	0.568014
613	0.151386	1.31938	0.603925
614	0.130025	1.12728	0.60324
615	0.12774	0.967951	0.4673
616	0.240474	2.16966	1.01467
617	0.14539	1.49619	0.614949
618	0.138548	1.05597	0.542156
619	0.228423	2.15371	0.927707
620	0.131883	0.981415	0.546084
621	0.156324	1.18295	0.58952
622	0.134834	1.42128	0.672581
623	0.141129	1.19891	0.540049
624	0.133805	1.13759	0.580088
625	0.129958	1.30997	0.641314
626	0.139547	1.13363	0.573686
627	0.125743	0.937795	0.479374
628	0.152697	1.3442	0.607313
629	0.136793	1.25248	0.620197
630	0.126934	1.06947	0.573992
631	0.135166	1.32247	0.573866
632	0.143123	1.1156	0.572837
633	0.128447	1.01414	0.511959
634	0.224525	2.16786	0.991965
635	0.145593	1.5845	0.774005
636	0.149297	1.10023	0.586925
637	0.213881	2.1188	1.01256
638	0.148801	1.10059	0.603786
639	0.15578	1.33923	0.649215
640	0.179139	1.3277	0.612673
641	0.147821	1.10017	0.570185
642	0.147589	1.10432	0.629094
643	0.131362	1.46017	0.68499
644	0.131985	1.12976	0.563736
645	0.127071	1.01859	0.512133
646	0.145087	1.52029	0.701247
647	0.15365	1.2582	0.644627
648	0.123905	1.08175	0.570679
649	0.15822	1.27724	0.574171
650	0.133062	1.0365	0.547396
651	0.122431	1.08015	0.50198
652	0.243957	2.25821	0.976433
653	0.143571	1.23089	0.7924
654	0.149927	1.10063	0.70208
655	0.193903	2.19577	0.980311
656	0.145713	1.08995	0.684718
657	0.145818	1.44447	0.729133
658	0.174483	1.26789	0.764998
659	0.149796	1.12166	0.55183
660	0.140481	1.11517	0.564964
661	0.221705	1.18247	1.09988
662	0.136377	1.12208	0.570062
663	0.123597	1.06841	0.487015
664	0.134558	1.3989	0.615466
665	0.143735	1.22855	0.603494
666	0.128905	1.1293	0.563389
667	0.172352	1.21251	0.599911
668	0.141654	1.1612	0.55282
669	0.126825	0.976754	0.48934
670	0.260564	2.18443	1.02155
671	0.161833	1.39861	0.644947
672	0.15369	1.05489	0.635829
673	0.214445	2.12532	1.02633
674	0.15155	1.50994	0.762151
675	0.192927	1.52492	0.775419
676	0.236778	1.11017	0.716413
677	0.160777	1.05515	0.544297
678	0.13959	1.0625	0.591268
679	0.345344	1.11095	4.28643
680	0.131868	1.14157	0.613437
681	0.124328	0.966602	0.484504
682	0.140696	1.40874	0.674505
683	0.151771	1.2872	0.668583
684	0.129902	1.0872	0.58326
685	0.18477	1.44221	0.682466
686	0.141963	1.09263	0.510122
687	0.137703	0.979816	0.488903
688	0.275632	2.19255	0.992062
689	0.156846	1.58017	0.583938
690	0.162994	1.0651	0.544878
691	0.23614	2.17364	1.00753
692	0.149941	1.58576	0.78188
693	0.215055	1.61311	0.787337
694	0.208855	1.43627	0.875352
695	0.154348	1.1298	0.540036
696	0.154824	1.16692	0.591605
697	0.199322	13.4537	30.1312
698	0.14258	1.02176	0.498051
699	0.1318	0.964057	0.47151
700	0.182353	1.14439	1.19268
701	0.142529	1.19494	0.635351
702	0.124045	1.01029	0.570537
703	0.171526	1.27695	0.665015
704	0.129491	1.11448	0.590121
705	0.147245	1.00662	0.480219
