Time	cb	gl	xy
5.520000000000000000e+02	1.273126938669442376e+00	1.568494639560641879e+01	7.636004100243341419e+00
5.550000000000000000e+02	1.305453808161601170e+00	1.435086278570305396e+01	7.150028223722928011e+00
5.580000000000000000e+02	1.290520632802613754e+00	1.579636034612375894e+01	7.720618718037963291e+00
5.610000000000000000e+02	1.249557039290892568e+00	1.493607142926698295e+01	7.366239457473505503e+00
5.640000000000000000e+02	1.301975976449443406e+00	1.429060846823181308e+01	7.206209175185164462e+00
5.670000000000000000e+02	1.280997341825832914e+00	1.552252088793290241e+01	7.741873955897946580e+00
5.700000000000000000e+02	1.318781207290567581e+00	1.511651583316083425e+01	7.509927931182681426e+00
5.730000000000000000e+02	1.276061207996360247e+00	1.494435669633036312e+01	7.377509882206620517e+00
5.760000000000000000e+02	1.262421814101711837e+00	1.567259544037993813e+01	7.724214064580511518e+00
5.790000000000000000e+02	1.309213116078640660e+00	1.429592135971828881e+01	6.927132412030961639e+00
5.820000000000000000e+02	1.315388155705793816e+00	1.581465555661870681e+01	7.733591195574859078e+00
5.850000000000000000e+02	1.298425871164627488e+00	1.539046794434605481e+01	7.478297270661881768e+00
5.880000000000000000e+02	1.301236774735484270e+00	1.534771957362882944e+01	7.528142167880636393e+00
5.910000000000000000e+02	1.298329326172209752e+00	1.488689172870626010e+01	7.517265769695137045e+00
5.940000000000000000e+02	1.239066360502780517e+00	1.458996781407256549e+01	7.195349285581738030e+00
5.970000000000000000e+02	1.326016299870600434e+00	1.483444061837740691e+01	7.413035964033745095e+00
6.000000000000000000e+02	1.296758234734304072e+00	1.711307955843469486e+01	8.264323738802621833e+00
6.030000000000000000e+02	1.281684262684926301e+00	1.405039150674421755e+01	6.741915111973238339e+00
6.060000000000000000e+02	1.280924022777460536e+00	1.518907774645487763e+01	7.557271688209808325e+00
6.090000000000000000e+02	1.317310009445485486e+00	1.543292694496456718e+01	7.464720485767766256e+00
6.120000000000000000e+02	1.256843498464861097e+00	1.585758025407718108e+01	7.616761823419735400e+00
6.150000000000000000e+02	1.303717680671838908e+00	1.509221870871997773e+01	7.469920796976660782e+00
6.180000000000000000e+02	1.228285107891284866e+00	1.489264155623027364e+01	7.068654636779050371e+00
6.210000000000000000e+02	1.261182492722761728e+00	1.510717157125662169e+01	7.311843093241795266e+00
6.240000000000000000e+02	1.244219527114054813e+00	1.461868238679448950e+01	7.294218153047933306e+00
6.270000000000000000e+02	1.277219015914045075e+00	1.533334251524558844e+01	7.657034144490060257e+00
6.300000000000000000e+02	1.260072732746481572e+00	1.594953194646659611e+01	7.986967284820350343e+00
6.330000000000000000e+02	1.272421112512833075e+00	1.441510780015956072e+01	7.179586115877822472e+00
6.360000000000000000e+02	1.280251085253453436e+00	1.525975851280634288e+01	7.525473272087777943e+00
6.390000000000000000e+02	1.315863361284577149e+00	1.456803802365355871e+01	7.033645201552719328e+00
6.420000000000000000e+02	1.230584040104517163e+00	1.566591330318761699e+01	7.607948374750504783e+00
6.450000000000000000e+02	1.294856811460918466e+00	1.547226776976772378e+01	7.613325740523611884e+00
6.480000000000000000e+02	1.240787065854409787e+00	1.551792339008474109e+01	7.419025115936191739e+00
6.510000000000000000e+02	1.279596478506109802e+00	1.561304596695962488e+01	7.478153794958822154e+00
6.540000000000000000e+02	1.249683761517395020e+00	1.425055163084828891e+01	7.075958184800564155e+00
6.570000000000000000e+02	1.270472368570906729e+00	1.496357667942223557e+01	7.303982912020471119e+00
6.600000000000000000e+02	1.278945270772355869e+00	1.624344523004921115e+01	7.936333221816411765e+00
6.630000000000000000e+02	1.288783519704793434e+00	1.509386469533115083e+01	7.401586510648911599e+00
6.660000000000000000e+02	1.264997325982488707e+00	1.520201598777467922e+01	7.258584464038266404e+00
6.690000000000000000e+02	1.242927212674210580e+00	1.456567573114567438e+01	7.235985976319370572e+00
6.720000000000000000e+02	1.219713716255574454e+00	1.535517967199456280e+01	7.358584365191492616e+00
6.750000000000000000e+02	1.279620811987314255e+00	1.519712245871220269e+01	7.527389265292034892e+00
6.780000000000000000e+02	1.327644693587946678e+00	1.513914278139605507e+01	7.383361545948362803e+00
6.810000000000000000e+02	1.230584000832763092e+00	1.452249319560944940e+01	7.139358031610718136e+00
